eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int
Tarvos,FALSE,18263200,0,0,0.531,33.8,1,0,0,7,0,0,0,NA,926.2,0,23/09/2000,23e14,NA,Secondary,Saturn,NA,NA,NA,0.03812853169214595,6.863135704586272,1.0105339274101002e-10,1.2105263157894735e-12,0.12208195153141309,915826834475457.4
Ijiraq,FALSE,11367400,0,0,0.316,49.1,1,0,0,5,0,0,0,NA,451.4,0,23/09/2000,118e13,NA,Secondary,Saturn,NA,NA,NA,0.06125824726850467,11.02648450833084,5.155785343929083e-11,6.210526315789473e-13,0.07598637565367433,1212827403880459.5
Suttungr,FALSE,19476700,0,0,0.114,175.8,1,0,0,3,0,0,0,NA,1016.7,0,23/09/2000,230000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03575271991661832,6.435489584991298,1.8560827238144698e-11,1.2105263157894735e-13,0.13019369800428585,80526044180309.06
Kiviuq,FALSE,11311100,0,0,0.334,48.7,1,0,0,7,0,0,0,NA,449.2,0,07/08/2000,279e13,NA,Secondary,Saturn,NA,NA,NA,0.06156333159462828,11.081399687033091,1.0105339274101002e-10,1.468421052631579e-12,0.07561003339869062,2896235003851663
Mundilfari,FALSE,18667900,0,0,0.21,169.4,1,0,0,3,0,0,0,NA,952.6,0,23/09/2000,230000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03730173184985992,6.714311732974786,1.8560827238144698e-11,1.2105263157894735e-13,0.12478720393979513,87654896878424.11
Albiorix,FALSE,16401100,0,0,0.469,34,1,0,0,13,0,0,0,NA,783.5,13.32,09/11/2000,223e14,NA,Secondary,Saturn,NA,NA,NA,0.042457822950899636,7.642408131161934,3.4853108924960603e-10,1.1736842105263157e-11,0.10963458185103701,11010275564898812
Skathi,FALSE,15614300,0,0,0.27,148.5,1,0,0,3,0,0,0,NA,728.2,0,23/09/2000,350000000000000,NA,Secondary,Saturn,NA,NA,NA,0.04459661976521522,8.02739155773874,1.8560827238144698e-11,1.8421052631578948e-13,0.10437514870323619,190661183506169.72
Erriapus,FALSE,17611400,0,0,0.474,34.6,1,0,0,4,0,0,0,NA,871.2,0,23/09/2000,680000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03953950282203573,7.117110507966431,3.299702620114613e-11,3.5789473684210526e-13,0.11772493764511852,291179254091110.7
Siarnaq,FALSE,18015400,0,0,0.295,45.6,1,0,0,16,0,0,0,NA,895.6,0,23/09/2000,435e14,NA,Secondary,Saturn,NA,NA,NA,0.03865348535142156,6.957627363255881,5.27952419218338e-10,2.2894736842105263e-11,0.12042551084251496,17800849035941718
Thrymr,FALSE,20439600,0,0,0.47,175,1,0,0,3,0,0,0,NA,1094.3,0,23/09/2000,230000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03406842599659485,6.132316679387072,1.8560827238144698e-11,1.2105263157894735e-13,0.13663028694431814,73117667691422.89
Narvi,FALSE,19417300,0,0,0.431,145.8,1,0,0,3,0,0,0,NA,1003.9,0,05/02/2003,230000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03586209205193307,6.455176569347952,1.8560827238144698e-11,1.2105263157894735e-13,0.1297966335292231,81019476666391.97
Methone,FALSE,194440,194421,194459,0,0,1,0,0,1.6,0,0,0,NA,1.01,0,01/06/2004,20000000000000,NA,Secondary,Saturn,NA,NA,NA,3.5812775149146265,644.6299526846328,5.279524192183382e-12,1.0526315789473684e-14,0.0012997511200538766,70258366713118830
Pallene,FALSE,212280,0,0,0,0,1,0,0,33,0,0,0,5x4x4,1.14,0,01/06/2004,60000000000000,NA,Secondary,Saturn,NA,NA,NA,3.280455059355568,590.4819106840022,2.2458600958155087e-9,3.157894736842105e-14,0.0014190041543151457,176836687532481340
Polydeuces,FALSE,377200,0,0,0,0,1,0,0,2,0,0,0,3x2x2,2.74,0,21/10/2004,10000000000000,NA,Secondary,Saturn,NA,NA,NA,1.846086956521739,332.295652173913,8.249256550286532e-12,5.263157894736842e-15,0.0025214262625196577,9334604255950808
Daphnis,FALSE,136500,0,0,0,0,0.34,0,0,33,0,0,0,9x8x6,0.594,0,01/05/2009,100000000000000,NA,Secondary,Saturn,NA,NA,NA,5.101648351648351,918.2967032967032,2.2458600958155087e-9,5.263157894736842e-14,9.124461421896429e-4,712810315447678e3
Aegir,FALSE,20749800,0,0,0.252,166.7,1,0,0,3,0,0,0,NA,1116.5,0,12/12/2004,150000000000000,NA,Secondary,Saturn,NA,NA,NA,0.033559118642107394,6.040641355579331,1.8560827238144698e-11,7.894736842105263e-14,0.1387038458696458,46270341801680.69
Bebhionn,FALSE,17117800,0,0,0.469,35,1,0,0,3,0,0,0,NA,834.8,0,12/12/2004,150000000000000,NA,Secondary,Saturn,NA,NA,NA,0.04067958499339869,7.322325298811764,1.8560827238144698e-11,7.894736842105263e-14,0.11442542544156681,67988372002407.68
Bergelmir,FALSE,19338300,0,0,0.142,158.5,1,0,0,3,0,0,0,NA,1005.9,0,12/12/2004,150000000000000,NA,Secondary,Saturn,NA,NA,NA,0.036008594343866836,6.48154698189603,1.8560827238144698e-11,7.894736842105263e-14,0.12926855114656388,53271380475388.57
Bestla,FALSE,20278000,0,0,0.521,145.2,1,0,0,3,0,0,0,NA,1083.6,0,13/12/2004,230000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03433992504191735,6.1811865075451236,1.8560827238144698e-11,1.2105263157894735e-13,0.13555005766535955,74287693981947.61
Farbauti,FALSE,20387000,0,0,0.206,156.4,1,0,0,3,0,0,0,NA,1086.1,0,12/12/2004,90000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03415632510913818,6.148138519644872,1.8560827238144698e-11,4.7368421052631573e-14,0.1362786776616868,28759090160358.555
Fenrir,FALSE,22454800,0,0,0.136,164.9,1,0,0,2,0,0,0,NA,1260.3,0,13/12/2004,50000000000000,NA,Secondary,Saturn,NA,NA,NA,0.031010919714270446,5.5819655485686805,8.249256550286532e-12,2.631578947368421e-14,0.1501010669131135,13170155435062.828
Fornjot,FALSE,25151200,0,0,0.206,170.4,1,0,0,3,0,0,0,NA,1490.9,0,12/12/2004,150000000000000,NA,Secondary,Saturn,NA,NA,NA,0.0276863529374344,4.983543528738192,1.8560827238144698e-11,7.894736842105263e-14,0.16812538762959814,31492933518069.355
Hati,FALSE,19775000,0,0,0.372,165.8,1,0,0,3,0,0,0,NA,1038.7,0,12/12/2004,150000000000000,NA,Secondary,Saturn,NA,NA,NA,0.0352134007585335,6.3384121365360295,1.8560827238144698e-11,7.894736842105263e-14,0.13218771034285853,50944529240939.06
Hyrrokkin,FALSE,18437300,0,0,0.333,151.4,1,0,0,4,0,0,0,NA,931.8,0,12/12/2004,350000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03776832833440905,6.7982991001936295,3.299702620114613e-11,1.8421052631578948e-13,0.12324573814940001,136745385048970.97
Kari,FALSE,22077100,0,0,0.478,156.3,1,0,0,3,0,0,0,NA,1233.6,0,12/12/2004,230000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03154150681022417,5.677471225840351,1.8560827238144698e-11,1.2105263157894735e-13,0.1475762983570327,62673372510071.38
Loge,FALSE,23065500,0,0,0.335,173.1,1,0,0,3,0,0,0,NA,1312,0,13/12/2004,150000000000000,NA,Secondary,Saturn,NA,NA,NA,0.030189893997528777,5.43418091955518,1.8560827238144698e-11,7.894736842105263e-14,0.15418334426868285,37445944643337.65
Skoll,FALSE,17663300,0,0,0.464,161.2,1,0,0,3,0,0,0,NA,878.3,0,12/12/2004,150000000000000,NA,Secondary,Saturn,NA,NA,NA,0.039423267452854224,7.09618814151376,1.8560827238144698e-11,7.894736842105263e-14,0.11807186771676424,63853814660109.45
Surtur,FALSE,22920400,0,0,0.451,177.5,1,0,0,3,0,0,0,NA,1297.7,0,12/12/2004,150000000000000,NA,Secondary,Saturn,NA,NA,NA,0.030381014292944278,5.46858257272997,1.8560827238144698e-11,7.894736842105263e-14,0.1532134106772417,37921556320557.766
Anthe,FALSE,197700,0,0,0.001,0.1,1,0,0,1,0,0,0,NA,1.04,0,30/05/2007,5000000000000,NA,Secondary,Saturn,NA,NA,NA,3.522220536165908,633.9996965098635,2.062314137571633e-12,2.631578947368421e-15,0.0013215428740724717,16990100367683084
Jarnsaxa,FALSE,19356400,0,0,0.216,163.3,1,0,0,3,0,0,0,NA,964.7,0,05/01/2006,100000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03597492302287615,6.475486144117707,1.8560827238144698e-11,5.263157894736842e-14,0.12938954217347695,35447866569085.87
Greip,FALSE,18442200,0,0,0.326,179.8,1,0,0,3,0,0,0,NA,921.2,0,05/01/2006,150000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03775823925562026,6.796483066011647,1.8560827238144698e-11,7.894736842105263e-14,0.12327849262629914,58574026961600.72
Tarqeq,FALSE,17909900,0,0,0.16,46.1,1,0,0,3,0,0,0,NA,887.5,0,05/01/2006,230000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03888045159381125,6.998481286886024,1.8560827238144698e-11,1.2105263157894735e-13,0.11972028690111564,95231536796871.3
Aegaeon,FALSE,167500,0,0,2e-4,0.001,1,0,0,0.5,0,0,0,NA,0.808,19.63,15/08/2008,100000000000,NA,Secondary,Saturn,NA,NA,NA,4.157268656716418,748.3083582089553,5.155785343929083e-13,5.2631578947368417e-17,0.0011196683429799646,473379728224548.9
S/2004 S 7,FALSE,21005800,0,0,0.58,165.1,1,0,0,3,0,0,0,NA,1103,0,12/12/2004,150000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03315012996410515,5.967023393538927,1.8560827238144698e-11,7.894736842105263e-14,0.14041510017294653,45149410623006.945
S/2004 S 12,FALSE,19867500,0,0,0.401,164,1,0,0,3,0,0,0,NA,1048,0,12/12/2004,90000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03504945262363156,6.30890147225368,1.8560827238144698e-11,4.7368421052631573e-14,0.13280603465166835,30282752339572.43
S/2004 S 13,FALSE,18408700,0,0,0.273,167.4,1,0,0,3,0,0,0,NA,906,0,12/12/2004,150000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03782695138711587,6.808851249680857,1.8560827238144698e-11,7.894736842105263e-14,0.12305455895770315,58787405997392.234
S/2004 S 17,FALSE,19449900,0,0,0.259,166.6,1,0,0,2,0,0,0,NA,986,0,13/12/2004,50000000000000,NA,Secondary,Saturn,NA,NA,NA,0.035801932143609994,6.444347785849799,8.249256550286532e-12,2.631578947368421e-14,0.13001455106940904,17553937086431.43
S/2006 S 1,FALSE,18797400,0,0,0.13,154.2,1,0,0,3,0,0,0,NA,970,0,04/01/2006,100000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03704475086980114,6.668055156564206,1.8560827238144698e-11,5.263157894736842e-14,0.12565285797212888,37587523489714.5
S/2006 S 3,FALSE,22100100,0,0,0.471,150.8,1,0,0,3,0,0,0,NA,1142,0,05/01/2006,150000000000000,NA,Secondary,Saturn,NA,NA,NA,0.031508680956194766,5.671562572115058,1.8560827238144698e-11,7.894736842105263e-14,0.14773004386084487,40788906272652.87
S/2007 S 2,FALSE,16723300,0,0,0.218,176.7,1,0,0,3,0,0,0,NA,800,0,01/05/2007,150000000000000,NA,Secondary,Saturn,NA,NA,NA,0.04163920996454049,7.495057793617288,1.8560827238144698e-11,7.894736842105263e-14,0.1117883558218319,71233876083027.98
S/2007 S 3,FALSE,18981900,0,0,0.13,177.2,1,0,0,3,0,0,0,NA,1100,0,01/05/2007,150000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03668468383038579,6.6032430894694425,1.8560827238144698e-11,7.894736842105263e-14,0.1268861642961874,55290583794420.07
S/2009 S 1,FALSE,117000,0,0,0,0,1,0,0,0.3,0,0,0,NA,0.4715,0,26/07/2009,100000000000,NA,Secondary,Saturn,NA,NA,NA,5.95164358974359,1071.2958461538462,1.85608272381447e-13,5.2631578947368417e-17,7.820966933054082e-4,970214040470450.6
Ariel,FALSE,190900,190670,191130,0.0012,0.04,1.59,0,0,581.1,0,0,0,NA,2.52038,60.4891,24/10/1851,129e19,NA,Secondary,Uranus,NA,NA,NA,3.650723415400733,657.1302147721319,6.963964841187453e-7,6.789473684210526e-7,0.0012760876816410463,47012909816778664e8
Umbriel,FALSE,266000,265100,267500,0.0039,0.13,1.46,0,0,584.7,0,0,0,NA,4.14418,99.499,24/10/1851,122e19,NA,Secondary,Uranus,NA,NA,NA,2.6200251879699246,471.60453383458645,7.050517690764369e-7,6.421052631578947e-7,0.0017781001745234067,2290001865566171e9
Titania,FALSE,436300,435800,436800,0.0011,0.08,1.66,0,0,788.9,0,0,0,NA,8.7058700000000009,208.9408,11/01/1787,342e19,NA,Secondary,Uranus,NA,NA,NA,1.5978246619298648,287.6084391473757,1.2835084466874632e-6,1.8e-6,0.002916485361445723,23861347130236766e8
Oberon,FALSE,583500,582702,584336,0.0014,0.07,1.56,0,0,761.4,0,0,0,NA,13.46323,323.1176,11/01/1787,288e19,NA,Secondary,Uranus,NA,NA,NA,1.1946930591259641,215.04475064267353,1.1955852924818373e-6,1.5157894736842103e-6,0.0039004565858436384,11234404213559254e8
Miranda,FALSE,129900,129703,130041,0.0013,4.34,1.2,0,0,240,0,0,0,NA,1.41348,33.9235,16/02/1948,66e18,NA,Secondary,Uranus,NA,NA,NA,5.362448036951501,965.2406466512701,1.1878929432412606e-7,3.473684210526316e-8,8.683278671826712e-4,51947531144049335e7
Cordelia,FALSE,49800,0,0,3e-4,0.08,1,0,0,20,0,0,0,NA,0.33503,0,20/01/1986,45e15,NA,Secondary,Uranus,NA,NA,NA,13.983172690763052,2516.971084337349,8.249256550286533e-10,2.3684210526315788e-11,3.328924386889686e-4,240986717956162e7
Ophelia,FALSE,53800,0,0,0.0099,0.1,1,0,0,21,0,0,0,NA,0.3764,0,20/01/1986,54e15,NA,Secondary,Uranus,NA,NA,NA,12.943550185873606,2329.839033457249,9.094805346690902e-10,2.8421052631578945e-11,3.596307871780424e-4,24778127720733543e5
Bianca,FALSE,59200,0,0,9e-4,0.19,1,0,0,27,0,0,0,NA,0.43458,0,23/01/1986,92e15,NA,Secondary,Uranus,NA,NA,NA,11.762989864864865,2117.3381756756758,1.5034270062897204e-9,4.8421052631578944e-11,3.95727557638292e-4,34864520178962745e5
Cressida,FALSE,61800,0,0,4e-4,0.01,1,0,0,41,0,0,0,NA,0.46357,0,09/01/1986,34e16,NA,Secondary,Uranus,NA,NA,NA,11.268333333333333,2028.3,3.4667500652579154e-9,1.7894736842105263e-10,4.1310748415619e-4,11823369047245e9
Desdemona,FALSE,62700,0,0,1e-4,0.11,1,0,0,35,0,0,0,NA,0.47365,0,13/01/1986,18e16,NA,Secondary,Uranus,NA,NA,NA,11.106491228070176,1999.1684210526316,2.5263348185252506e-9,9.473684210526315e-11,4.1912361256623155e-4,6081023786085483e6
Juliet,FALSE,64400,0,0,7e-4,0.07,1,0,0,53,0,0,0,NA,0.49307,0,03/01/1986,56e16,NA,Secondary,Uranus,NA,NA,NA,10.813586956521739,1946.445652173913,5.7930404124387175e-9,2.9473684210526316e-10,4.304874106740879e-4,17933108290575208e6
Portia,FALSE,66100,0,0,1e-4,0.06,1,0,0,70,0,0,0,NA,0.5132,0,03/01/1986,17e17,NA,Secondary,Uranus,NA,NA,NA,10.53573373676248,1896.4320726172466,1.0105339274101002e-8,8.947368421052631e-10,4.4185120878194426e-4,5167557064091677e7
Rosalind,FALSE,69900,0,0,1e-4,0.28,1,0,0,36,0,0,0,NA,0.55846,0,13/01/1986,25e15,NA,Secondary,Uranus,NA,NA,NA,9.962489270386266,1793.2480686695278,2.6727591222928363e-9,1.3157894736842105e-11,4.672526398465644e-4,6795555064357215e5
Belinda,FALSE,75300,0,0,1e-4,0.03,1,0,0,45,0,0,0,NA,0.62353,0,13/01/1986,49e16,NA,Secondary,Uranus,NA,NA,NA,9.24816733067729,1664.6701195219123,4.176186128582557e-9,2.5789473684210525e-10,5.03349410306814e-4,11477449917020716e6
Puck,FALSE,86000,0,0,1e-4,0.32,1,0,0,81,0,0,0,NA,0.76183,0,30/12/1985,29e17,NA,Secondary,Uranus,NA,NA,NA,8.097941860465117,1457.629534883721,1.3530843056607487e-8,1.526315789473684e-9,5.748744925150864e-4,5207633044889129e7
Caliban,FALSE,7231100,0,0,0.1812,141.53,1,0,0,36,0,0,0,NA,-579.5,0,06/09/1997,25e16,NA,Secondary,Uranus,NA,NA,NA,0.09630319038597171,17.334574269474906,2.6727591222928363e-9,1.3157894736842104e-10,0.04833691793983536,634995360797789300
Sycorax,FALSE,12179400,0,0,0.5219,159.42,1,0,0,75,0,0,0,NA,-1283.4,0,06/09/1997,23e17,NA,Secondary,Uranus,NA,NA,NA,0.05717991034041086,10.292383861273954,1.1600517023840438e-8,1.2105263157894736e-9,0.08141426039695632,2059279645559888400
Prospero,FALSE,16276800,0,0,0.4445,151.83,1,0,0,25,0,0,0,NA,-1977.3,0,18/07/1999,85e15,NA,Secondary,Uranus,NA,NA,NA,0.04278279514400865,7.700903125921557,1.2889463359822709e-9,4.473684210526316e-11,0.10880368767173904,42610845344912736
Setebos,FALSE,17420400,0,0,0.5908,158.24,1,0,0,24,0,0,0,NA,-2234.8,0,18/07/1999,75e15,NA,Secondary,Uranus,NA,NA,NA,0.03997416821657367,7.195350278983261,1.1878929432412607e-9,3.9473684210526314e-11,0.11644818150476524,32823455254447828
Stephano,FALSE,8007400,0,0,0.2248,143.82,1,0,0,16,0,0,0,NA,-676.5,0,18/07/1999,22e15,NA,Secondary,Uranus,NA,NA,NA,0.08696430801508605,15.65357544271549,5.27952419218338e-10,1.1578947368421052e-11,0.05352616292285235,45569987781782904
Trinculo,FALSE,8505200,0,0,0.2194,166.93,1,0,0,9,0,0,0,NA,-758.1,0,13/08/2001,39e14,NA,Secondary,Uranus,NA,NA,NA,0.08187355970465127,14.737240746837228,1.6704744514330227e-10,2.0526315789473685e-12,0.05685375039231759,7160359454783080
Francisco,FALSE,4282900,0,0,0.1324,147.25,1,0,0,11,0,0,0,NA,-266.6,0,13/08/2001,72e14,NA,Secondary,Uranus,NA,NA,NA,0.1625891335310187,29.266044035583366,2.4954001064616764e-10,3.789473684210526e-12,0.028629418185963526,52130982077002424
Margaret,FALSE,23808000,0,0,0.6772,57.37,1,0,0,10,0,0,0,NA,1694.8,0,29/08/2003,54e14,NA,Secondary,Uranus,NA,NA,NA,0.029248655913978495,5.264758064516129,2.0623141375716332e-10,2.8421052631578945e-12,0.15914665020696717,1265281653429045.2
Ferdinand,FALSE,20430000,0,0,0.3993,169.79,1,0,0,10,0,0,0,NA,-2823.4,0,13/08/2001,54e14,NA,Secondary,Uranus,NA,NA,NA,0.03408477728830152,6.1352599118942734,2.0623141375716332e-10,2.8421052631578945e-12,0.13656611490794435,1718289377502636
Perdita,FALSE,76417,0,0,0,0.47,1,0,0,13,0,0,0,NA,0.638,0,18/01/1986,18e18,NA,Secondary,Uranus,NA,NA,NA,9.112566575500216,1640.2619835900389,3.4853108924960603e-10,9.473684210526315e-9,5.108160941223878e-4,4.0938489615853177e+023
Mab,FALSE,97736,0,0,0,0.13,1,0,0,12,0,0,0,NA,0.923,0,25/08/2003,1e16,NA,Secondary,Uranus,NA,NA,NA,7.124846525333552,1282.4723745600393,2.9697323581031517e-10,5.2631578947368416e-12,6.533248069820289e-4,1390369259034109e5
Cupid,FALSE,74392,0,0,0,0.1,1,0,0,9,0,0,0,NA,0.613,0,25/08/2003,38e14,NA,Secondary,Uranus,NA,NA,NA,9.360562963759545,1684.901333476718,1.6704744514330227e-10,2e-12,4.972798051997942e-4,9119486944591079e4
Triton,FALSE,354759,354753,354765,2e-5,157.345,2.05,0.78,0,1353.4,0,0,0,NA,5.87685,141.0444,10/10/1846,2.1400000000000002e+022,NA,Secondary,Neptune,NA,NA,NA,1.9666742774672383,354.0013699441029,3.77752339985864e-6,1.1263157894736843e-5,0.002371417442908832,22583237819212137e9
Nereid,FALSE,5513818,1372000,9655000,0.7512,7.23,1,0.071,0,170,0,0,0,NA,360.13619,0,01/05/1949,3e19,NA,Secondary,Neptune,NA,NA,NA,0.12632118071361803,22.737812528451247,5.96008785758202e-8,1.5789473684210525e-8,0.03685759679733196,13105562919302467e4
Naiad,FALSE,48227,0,0,3e-4,4.74,1,0.01,0,33,0,0,0,48 x 30 x 26,0.2944,0,18/09/1989,2e17,NA,Secondary,Neptune,NA,NA,NA,14.439525576958966,2599.114603852614,2.2458600958155087e-9,1.0526315789473684e-10,3.2237758314564033e-4,11420596299279253e6
Thalassa,FALSE,50074,0,0,2e-4,0.21,1,0.013,0,33,0,0,0,54 x 50 x 26,0.31149,0,18/09/1989,4e17,NA,Secondary,Neptune,NA,NA,NA,13.906917761712664,2503.2451971082796,2.2458600958155087e-9,2.1052631578947368e-10,3.347240155604702e-4,21187255315701476e6
Despina,FALSE,52526,0,0,1e-4,0.07,1,0.023,0,33,0,0,0,90 x 74 x 64,0.33466,0,28/07/1989,2e18,NA,Secondary,Neptune,NA,NA,NA,13.257719986292503,2386.3895975326504,2.2458600958155087e-9,1.0526315789473683e-9,3.511146231842724e-4,9627657138400342e7
Galatea,FALSE,61953,0,0,1e-4,0.05,1,0.03,0,33,0,0,0,102 x 92 x 72,0.42875,0,28/07/1989,2e18,NA,Secondary,Neptune,NA,NA,NA,11.240375768727906,2023.2676383710232,2.2458600958155087e-9,1.0526315789473683e-9,4.1413022598589706e-4,6920613435866063e7
Larissa,FALSE,73548,0,0,0.0014,0.2,1,0.034,0,33,0,0,0,108 x 102 x 84,0.55465,0,24/05/1981,5e18,NA,Secondary,Neptune,NA,NA,NA,9.468306412139011,1704.295154185022,2.2458600958155087e-9,2.631578947368421e-9,4.916380136685996e-4,12276301565376628e7
Proteus,FALSE,117646,0,0,4e-4,0.04,1,0.075,0,33,0,0,0,220 x 208 x 202,1.12232,0,16/06/1989,5e19,NA,Secondary,Neptune,NA,NA,NA,5.919240773166958,1065.4633391700524,2.2458600958155087e-9,2.6315789473684208e-8,7.864149365863937e-4,47979415375590424e7
Halimede,FALSE,16611000,0,0,0.571,134.1,1,0.01,0,30,0,0,0,NA,1879.7,0,14/08/2002,2e17,NA,Secondary,Neptune,NA,NA,NA,0.04192234061766299,7.546021311179339,1.8560827238144698e-9,1.0526315789473684e-10,0.11103767668800116,96267062057707980
Psamathe,FALSE,48096000,0,0,0.45,137.4,1,0,0,20,0,0,0,NA,9115.9,0,19/08/2003,2e16,NA,Secondary,Neptune,NA,NA,NA,0.014478584497671323,2.606145209580838,8.249256550286533e-10,1.0526315789473683e-11,0.3215019022326232,1148289402012121.2
Sao,FALSE,22228000,0,0,0.293,48.5,1,0.01,0,20,0,0,0,NA,2914.1,0,14/08/2002,1e17,NA,Secondary,Neptune,NA,NA,NA,0.03132814468238258,5.639066042828865,8.249256550286533e-10,5.263157894736842e-11,0.148585002553783,26880571785544860
Laomedeia,FALSE,23567000,0,0,0.424,34.7,1,0.01,0,20,0,0,0,NA,3167.9,0,13/08/2002,1e17,NA,Secondary,Neptune,NA,NA,NA,0.029548181779607077,5.318672720329274,8.249256550286533e-10,5.263157894736842e-11,0.15753566471050046,23912813410504160
Neso,FALSE,49285000,0,0,0.495,132.6,1,0,0,30,0,0,0,NA,9374,0,14/08/2002,1e17,NA,Secondary,Neptune,NA,NA,NA,0.014129491731764228,2.543308511717561,1.8560827238144698e-9,5.263157894736842e-11,0.32944987632100037,5467763945800620
Charon,FALSE,17536,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,13/04/1978,24e15,NA,Secondary,Pluto,NA,NA,NA,39.71116560218978,7148.00980839416,2.2458600958155087e-9,1.263157894736842e-11,1.1722091977609947e-4,10365480687902925e6
Nix,FALSE,48708,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,15/05/2005,24e15,NA,Secondary,Pluto,NA,NA,NA,14.296932742054693,2573.447893569845,2.2458600958155087e-9,1.263157894736842e-11,3.255928695514515e-4,13435379114778703e5
Hydra,FALSE,64749,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,15/05/2005,24e15,NA,Secondary,Pluto,NA,NA,NA,10.754992355094288,1935.8986239169717,2.2458600958155087e-9,1.263157894736842e-11,4.3282033157975963e-4,7602989479473377e5
Namaka,FALSE,39300,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,30/06/2005,24e15,NA,Secondary,136108 Haumea,NA,NA,NA,17.71946564885496,3189.503816793893,2.2458600958155087e-9,1.263157894736842e-11,2.627042739051499e-4,20637896004506343e5
Hiʻiaka,FALSE,49500,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,26/01/2005,24e15,NA,Secondary,136108 Haumea,NA,NA,NA,14.068181818181818,2532.2727272727275,2.2458600958155087e-9,1.263157894736842e-11,3.308870625522881e-4,13008886440159168e5
Dysnomia,FALSE,30000,0,0,0,0,1,0,0,33,0,0,0,39x37x25,2.74,0,??/09/2005,24e15,NA,Secondary,136199 Eris,NA,NA,NA,23.2125,4178.25,2.2458600958155087e-9,1.263157894736842e-11,2.005376136680534e-4,35416693333333335e5
Dia,FALSE,12555000,0,0,0.211,28.23,1,0,0,2,0,0,0,NA,287,0,27/12/2000,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.05546348068498606,9.983426523297492,8.249256550286532e-12,4.7368421052631573e-14,0.08392499132008034,75831274292753.45
S/2004 S 3,FALSE,141000,0,0,0.02,0,1,0,0,2,0,0,0,NA,0.62,0,21/06/2004,24e15,NA,Secondary,Saturn,NA,NA,NA,4.938609929078014,888.9497872340426,8.249256550286532e-12,1.263157894736842e-11,9.425267842398509e-4,1603290780141844e5
